1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),fecha
59323.91850000,9410.44542794,59323.91850000,9410.44542794,59323.91850000,9410.44542794,59323.91850000,9410.44542794,0.00000000,0.00000000,20180205
59323.91850000,9410.44542794,59323.91850000,9410.44542794,59323.91850000,9410.44542794,59323.91850000,9410.44542794,0.00000000,0.00000000,20180204
59323.91850000,9411.71444663,59323.91850000,9411.71444663,59323.91850000,9410.44542794,59323.91850000,9410.44542794,0.00000000,0.00000000,20180203
76049.12700000,12084.04538124,76049.12700000,12084.04538124,55315.26000000,8801.57525419,59323.91850000,9411.71444663,0.30202020,2842.52787951,20180202
76049.12700000,12094.23064384,76049.12700000,12095.09622113,76049.12700000,12059.80447193,76049.12700000,12084.04538124,0.00000000,0.00000000,20180201
77920.85070000,12337.34979456,77920.85070000,12337.34979456,76049.12700000,12086.44601961,76049.12700000,12094.23064384,0.00900000,108.84807579,20180131
77920.85070000,12337.34979456,77920.85070000,12337.34979456,77920.85070000,12337.34979456,77920.85070000,12337.34979456,0.00000000,0.00000000,20180130
77920.85070000,12337.34979456,77920.85070000,12337.34979456,77920.85070000,12337.34979456,77920.85070000,12337.34979456,0.00000000,0.00000000,20180129
77920.85070000,12337.34979456,77920.85070000,12337.34979456,77920.85070000,12337.34979456,77920.85070000,12337.34979456,0.00000000,0.00000000,20180128
76532.84100000,12111.44345702,77920.85070000,12337.34979456,76532.84100000,12111.44345702,77920.85070000,12337.34979456,0.00891089,109.93676691,20180127
76532.84100000,12104.96671139,76532.84100000,12114.22707990,76532.84100000,12084.95965513,76532.84100000,12111.44345702,0.00000000,0.00000000,20180126
80510.01420000,12633.57983272,80510.01420000,12742.59987610,76532.84100000,12098.90619072,76532.84100000,12104.96671139,0.13400000,1622.06553933,20180125
75552.71312000,11797.27729555,80510.01420000,12645.18784014,75552.71312000,11795.55886538,80510.01420000,12633.57983272,0.01821308,230.09640018,20180124
77210.00857402,12052.26203872,77293.85762214,12086.98592953,75244.82083000,11744.68968160,75552.71312000,11797.27729555,0.09028000,1065.05819424,20180123
75412.58579000,11775.85661930,77268.07887125,12063.71254820,75289.57130000,11757.49410791,77210.00857402,12052.26203872,0.16103000,1940.77575610,20180122
91657.38990173,14307.71834904,91708.25761061,14315.65879828,75286.01138000,11775.85661930,75412.58579000,11775.85661930,0.13987000,1647.08906534,20180121
75538.20531000,11790.50139854,91657.38990173,14307.71834904,75299.90889000,11753.30652130,91657.38990173,14307.71834904,1.03841000,14857.27781083,20180120
75647.66419000,11781.84063887,75672.27501000,11804.37914476,72939.33959562,11391.96582623,75538.20531000,11790.50139854,0.14604000,1721.88482424,20180119
75278.78901000,11697.19396615,81602.20804193,12679.81354372,75227.10788000,11697.19396615,75647.66419000,11781.84063887,0.14136000,1665.48099271,20180118
91343.68128357,14177.41720088,91590.73681512,14261.24966953,73446.62036918,11407.32504562,75278.78901000,11697.19396615,0.08007000,936.59432087,20180117
91667.76505897,14243.63551113,91809.27783954,14268.06294712,75629.40000000,11737.68100197,91233.85594109,14160.37125225,0.74690000,10576.38128830,20180116
86129.69234000,13341.65037719,91572.35165169,14228.80986554,86043.50058000,13332.63613797,91572.35165169,14228.80986554,0.23214000,3303.07592219,20180115
91460.78440000,14171.39782147,91698.13578000,14208.17424813,85625.25909000,13271.73599051,86056.96216000,13330.38433632,0.12038000,1604.71166641,20180114
88442.50720000,13706.42567350,92630.14569000,14356.47740521,88442.50720000,13706.42567350,91486.09057000,14175.31888780,0.14948000,2118.92666735,20180113
89242.56449137,13739.56006518,91414.60977955,14147.74756026,88186.82822000,13638.96628723,88473.25426000,13711.19071585,0.22389000,3069.79848937,20180112
94441.60452000,14511.84015120,94441.60452000,14511.84015120,83653.58071000,12850.80200166,89242.56449137,13739.56006518,0.18226230,2504.20381847,20180111
92844.25629000,14214.62678211,94441.60452000,14511.84015120,89028.03616000,13678.20797542,94441.60452000,14511.84015120,0.21635000,3139.63661671,20180110
97313.52788704,14971.88782446,99607.29212414,15310.53707832,92844.25629000,14214.62678211,92844.25629000,14214.62678211,0.13265000,1885.57024265,20180109
112945.27862401,17377.39976214,113074.08685191,17409.40770003,93761.91251025,14424.68769869,97313.52788704,14971.88782446,0.18842320,2821.05101393,20180108
105670.94929630,16287.51424529,113810.83477969,17542.14952252,105670.94929630,16287.51424529,112945.27862401,17377.39976214,4.90876202,85301.51995875,20180107
105910.39514000,16324.42105474,109806.40967000,16924.93039605,100906.88686803,15553.20897802,105670.94929630,16287.51424529,0.12755302,2077.52163028,20180106
94923.03253000,14618.08733859,105910.39514000,16324.42105474,94729.48445000,14608.49009569,105910.39514000,16324.42105474,0.15628000,2551.18052243,20180105
96417.80647000,14823.64298315,98105.05205000,15105.63422690,93399.42300000,14376.66210018,94923.03253000,14618.08733859,0.15426000,2254.98615285,20180104
95646.00825000,14729.88562879,98548.36132000,15159.65377882,95493.36216000,14682.47248498,96417.80647000,14823.64298315,0.19860000,2943.97549645,20180103
88091.55321000,13512.42513920,97483.17171000,15017.28004899,87390.95379000,13401.05406827,95646.00825000,14729.88562879,0.12581000,1853.16691096,20180102
90677.95056000,13897.86015322,90677.95056000,13900.41244750,85534.21087000,13142.52955810,88091.55321000,13512.42513920,0.18948000,2560.33431538,20180101
